Group,Putative stress type,Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection,Stress type,Stress intensity,Stress duration (in hrs),Reason for assignment,Control /Treatment,Run,Experiment,Sample,taxid,name
,Heat,SRX11547278,TC31,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582895,,3152.72,1,36063443,10891159786,TC31,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,2,Biosample Reference,Treatment,SRR15241104,SRX11547278,SRS9582895,4577,Zea mays
,Heat,SRX11547277,TC24,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582894,,2887.32,1,32998707,9965609514,TC24,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1.5,Biosample Reference,Treatment,SRR15241105,SRX11547277,SRS9582894,4577,Zea mays
,Heat,SRX11547276,TC16,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582893,,2227.03,1,25468131,7691375562,TC16,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241106,SRX11547276,SRS9582893,4577,Zea mays
,Heat,SRX11547275,TC7,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582892,,2561.94,1,29563739,8928249178,TC7,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,0.5,Biosample Reference,Treatment,SRR15241107,SRX11547275,SRS9582892,4577,Zea mays
,Heat,SRX11547274,TC58,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582891,,3025.23,1,34520505,10425192510,TC58,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241108,SRX11547274,SRS9582891,4577,Zea mays
,Heat,SRX11547273,TC52,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582890,,2752.62,1,31533181,9523020662,TC52,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,8,Biosample Reference,Control,SRR15241109,SRX11547273,SRS9582890,4577,Zea mays
,Heat,SRX11547272,HY100,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582889,,3051.86,1,35274653,10652945206,HY100,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241110,SRX11547272,SRS9582889,4577,Zea mays
,Heat,SRX11547271,TC43,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582888,,3451.1,1,39407587,11901091274,TC43,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,4,Biosample Reference,Control,SRR15241111,SRX11547271,SRS9582888,4577,Zea mays
,Heat,SRX11547270,TC37,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582887,,2719.44,1,31012888,9365892176,TC37,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,3,Biosample Reference,Control,SRR15241112,SRX11547270,SRS9582887,4577,Zea mays
,Heat,SRX11547269,TC28,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582886,,2601.87,1,29813736,9003748272,TC28,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,2,Biosample Reference,Control,SRR15241113,SRX11547269,SRS9582886,4577,Zea mays
