time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 18:44:57.376	WT901BLE68-01(48591DE3C19B)	-0.158	-0.979	0.273	-4.395	-3.723	-0.732	-74.82	11.85	-33.71	-72.030	-73.108	9.506	0.79022	-0.56445	0.22009	-0.09149	30.9	13111	100
2025-3-27 18:44:57.376	WT901BLE68-01(48591DE3C19B)	-0.158	-0.979	0.291	-4.456	-6.042	0.061	-74.87	11.82	-34.03	-72.030	-73.108	9.506	0.79022	-0.56445	0.22009	-0.09149	30.9	13111	100
2025-3-27 18:44:57.376	WT901BLE68-01(48591DE3C19B)	-0.168	-0.979	0.291	-4.456	-6.042	0.061	-74.91	11.78	-34.34	-72.030	-73.108	9.506	0.79022	-0.56445	0.22009	-0.09149	30.9	13111	100
2025-3-27 18:44:57.376	WT901BLE68-01(48591DE3C19B)	-0.168	-1.004	0.305	-4.517	-7.690	0.732	-74.95	11.76	-34.64	-72.030	-73.108	9.506	0.79022	-0.56445	0.22009	-0.09149	30.9	13111	100
2025-3-27 18:44:57.430	WT901BLE68-01(48591DE3C19B)	-0.160	-1.004	0.305	-4.517	-7.690	0.732	-74.99	11.72	-34.93	-72.030	-73.108	9.506	0.79022	-0.56445	0.22009	-0.09149	30.9	13111	100
2025-3-27 18:44:57.431	WT901BLE68-01(48591DE3C19B)	-0.160	-1.001	0.298	-2.869	-7.080	1.282	-75.03	11.69	-35.23	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.431	WT901BLE68-01(48591DE3C19B)	-0.132	-1.001	0.298	-2.869	-7.080	1.282	-75.05	11.67	-35.52	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.431	WT901BLE68-01(48591DE3C19B)	-0.132	-0.988	0.281	-2.686	-4.944	1.770	-75.07	11.66	-35.83	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.459	WT901BLE68-01(48591DE3C19B)	-0.104	-0.988	0.281	-2.686	-4.944	1.770	-75.09	11.64	-36.15	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.459	WT901BLE68-01(48591DE3C19B)	-0.104	-0.977	0.270	-2.380	-1.953	1.770	-75.12	11.63	-36.47	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.459	WT901BLE68-01(48591DE3C19B)	-0.091	-0.977	0.270	-2.380	-1.953	1.770	-75.15	11.62	-36.81	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.459	WT901BLE68-01(48591DE3C19B)	-0.091	-0.966	0.268	-2.258	1.038	1.709	-75.17	11.61	-37.16	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.520	WT901BLE68-01(48591DE3C19B)	-0.092	-0.966	0.268	-2.258	1.038	1.709	-75.21	11.61	-37.53	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.520	WT901BLE68-01(48591DE3C19B)	-0.092	-0.973	0.265	-1.526	2.930	0.793	-75.24	11.60	-37.90	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.520	WT901BLE68-01(48591DE3C19B)	-0.093	-0.973	0.265	-1.526	2.930	0.793	-75.27	11.59	-38.28	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.520	WT901BLE68-01(48591DE3C19B)	-0.093	-0.977	0.254	0.183	4.333	-0.549	-75.29	11.58	-38.67	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
2025-3-27 18:44:57.550	WT901BLE68-01(48591DE3C19B)	-0.091	-0.977	0.254	0.183	4.333	-0.549	-75.32	11.56	-39.07	-72.030	-73.108	9.506	0.77081	-0.55289	0.26035	-0.17963	30.9	13111	100
