time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 17:37:5.764	WT901BLE68-01(48591DE3C19B)	-0.291	-0.917	0.259	1.404	3.357	-7.080	-74.70	16.84	-29.09	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.764	WT901BLE68-01(48591DE3C19B)	-0.291	-0.924	0.258	1.465	3.235	-6.897	-74.70	16.78	-29.14	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.764	WT901BLE68-01(48591DE3C19B)	-0.287	-0.924	0.258	1.465	3.235	-6.897	-74.70	16.72	-29.19	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.764	WT901BLE68-01(48591DE3C19B)	-0.287	-0.924	0.256	1.709	3.418	-6.531	-74.70	16.67	-29.23	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.793	WT901BLE68-01(48591DE3C19B)	-0.290	-0.924	0.256	1.709	3.418	-6.531	-74.70	16.61	-29.28	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.794	WT901BLE68-01(48591DE3C19B)	-0.290	-0.921	0.257	1.770	3.967	-5.981	-74.69	16.56	-29.33	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.794	WT901BLE68-01(48591DE3C19B)	-0.292	-0.921	0.257	1.770	3.967	-5.981	-74.69	16.51	-29.38	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.794	WT901BLE68-01(48591DE3C19B)	-0.292	-0.925	0.258	1.282	4.089	-5.493	-74.69	16.47	-29.44	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.972	WT901BLE68-01(48591DE3C19B)	-0.294	-0.925	0.258	1.282	4.089	-5.493	-74.69	16.43	-29.49	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.973	WT901BLE68-01(48591DE3C19B)	-0.294	-0.931	0.258	1.160	3.906	-4.639	-74.69	16.39	-29.54	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.973	WT901BLE68-01(48591DE3C19B)	-0.292	-0.931	0.258	1.160	3.906	-4.639	-74.69	16.36	-29.59	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.973	WT901BLE68-01(48591DE3C19B)	-0.292	-0.931	0.253	1.160	3.601	-3.723	-74.69	16.33	-29.63	-55.860	-19.012	85.456	0.78311	-0.54965	0.27368	-0.09805	28.8	13111	100
2025-3-27 17:37:5.974	WT901BLE68-01(48591DE3C19B)	-0.286	-0.931	0.253	1.160	3.601	-3.723	-74.69	16.31	-29.67	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:5.974	WT901BLE68-01(48591DE3C19B)	-0.286	-0.922	0.250	1.099	3.601	-2.930	-74.69	16.29	-29.71	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:5.974	WT901BLE68-01(48591DE3C19B)	-0.285	-0.922	0.250	1.099	3.601	-2.930	-74.69	16.27	-29.75	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:5.974	WT901BLE68-01(48591DE3C19B)	-0.285	-0.920	0.250	0.488	4.089	-2.319	-74.70	16.26	-29.79	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.3	WT901BLE68-01(48591DE3C19B)	-0.285	-0.920	0.250	0.488	4.089	-2.319	-74.71	16.25	-29.83	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.3	WT901BLE68-01(48591DE3C19B)	-0.285	-0.930	0.250	0.061	4.700	-1.770	-74.72	16.25	-29.88	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.3	WT901BLE68-01(48591DE3C19B)	-0.277	-0.930	0.250	0.061	4.700	-1.770	-74.73	16.25	-29.92	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.3	WT901BLE68-01(48591DE3C19B)	-0.277	-0.928	0.247	0.183	5.798	-1.099	-74.75	16.25	-29.98	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.4	WT901BLE68-01(48591DE3C19B)	-0.278	-0.928	0.247	0.183	5.798	-1.099	-74.76	16.26	-30.03	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.4	WT901BLE68-01(48591DE3C19B)	-0.278	-0.919	0.243	0.061	6.897	-0.488	-74.78	16.28	-30.10	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.4	WT901BLE68-01(48591DE3C19B)	-0.277	-0.919	0.243	0.061	6.897	-0.488	-74.80	16.29	-30.16	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.4	WT901BLE68-01(48591DE3C19B)	-0.277	-0.919	0.243	-0.549	7.385	-0.244	-74.83	16.31	-30.23	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.32	WT901BLE68-01(48591DE3C19B)	-0.279	-0.919	0.243	-0.549	7.385	-0.244	-74.86	16.33	-30.30	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.32	WT901BLE68-01(48591DE3C19B)	-0.279	-0.914	0.242	-0.793	7.813	-0.122	-74.88	16.35	-30.37	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.32	WT901BLE68-01(48591DE3C19B)	-0.283	-0.914	0.242	-0.793	7.813	-0.122	-74.92	16.36	-30.44	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.32	WT901BLE68-01(48591DE3C19B)	-0.283	-0.915	0.242	-1.526	7.202	-0.549	-74.95	16.38	-30.51	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.62	WT901BLE68-01(48591DE3C19B)	-0.282	-0.915	0.242	-1.526	7.202	-0.549	-74.99	16.39	-30.58	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.62	WT901BLE68-01(48591DE3C19B)	-0.282	-0.913	0.245	-2.136	5.981	-1.282	-75.03	16.40	-30.64	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.62	WT901BLE68-01(48591DE3C19B)	-0.282	-0.913	0.245	-2.136	5.981	-1.282	-75.06	16.40	-30.69	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.62	WT901BLE68-01(48591DE3C19B)	-0.282	-0.918	0.249	-2.747	5.066	-2.258	-75.11	16.39	-30.74	-55.860	-19.012	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.92	WT901BLE68-01(48591DE3C19B)	-0.280	-0.918	0.249	-2.747	5.066	-2.258	-75.15	16.39	-30.79	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.92	WT901BLE68-01(48591DE3C19B)	-0.280	-0.923	0.252	-3.296	4.456	-3.418	-75.20	16.36	-30.83	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.92	WT901BLE68-01(48591DE3C19B)	-0.278	-0.923	0.252	-3.296	4.456	-3.418	-75.25	16.34	-30.88	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.92	WT901BLE68-01(48591DE3C19B)	-0.278	-0.922	0.253	-3.113	4.211	-4.150	-75.28	16.31	-30.93	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.152	WT901BLE68-01(48591DE3C19B)	-0.279	-0.922	0.253	-3.113	4.211	-4.150	-75.33	16.29	-30.97	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.152	WT901BLE68-01(48591DE3C19B)	-0.279	-0.910	0.249	-3.418	4.089	-4.700	-75.38	16.25	-31.01	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.152	WT901BLE68-01(48591DE3C19B)	-0.284	-0.910	0.249	-3.418	4.089	-4.700	-75.42	16.22	-31.06	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.152	WT901BLE68-01(48591DE3C19B)	-0.284	-0.905	0.249	-4.028	3.174	-5.188	-75.47	16.18	-31.10	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.243	WT901BLE68-01(48591DE3C19B)	-0.289	-0.905	0.249	-4.028	3.174	-5.188	-75.52	16.14	-31.14	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.243	WT901BLE68-01(48591DE3C19B)	-0.289	-0.908	0.251	-4.517	1.770	-5.554	-75.57	16.09	-31.16	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.243	WT901BLE68-01(48591DE3C19B)	-0.290	-0.908	0.251	-4.517	1.770	-5.554	-75.62	16.05	-31.18	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.243	WT901BLE68-01(48591DE3C19B)	-0.290	-0.914	0.255	-4.761	0.061	-5.676	-75.66	16.00	-31.18	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.245	WT901BLE68-01(48591DE3C19B)	-0.286	-0.914	0.255	-4.761	0.061	-5.676	-75.71	15.94	-31.19	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.245	WT901BLE68-01(48591DE3C19B)	-0.286	-0.915	0.259	-4.700	-0.549	-5.676	-75.75	15.89	-31.19	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.245	WT901BLE68-01(48591DE3C19B)	-0.285	-0.915	0.259	-4.700	-0.549	-5.676	-75.79	15.84	-31.19	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.245	WT901BLE68-01(48591DE3C19B)	-0.285	-0.918	0.259	-4.333	-0.122	-5.554	-75.83	15.79	-31.20	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.273	WT901BLE68-01(48591DE3C19B)	-0.286	-0.918	0.259	-4.333	-0.122	-5.554	-75.87	15.74	-31.20	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.273	WT901BLE68-01(48591DE3C19B)	-0.286	-0.918	0.259	-3.845	0.732	-5.554	-75.91	15.70	-31.21	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.273	WT901BLE68-01(48591DE3C19B)	-0.285	-0.918	0.259	-3.845	0.732	-5.554	-75.94	15.65	-31.22	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.273	WT901BLE68-01(48591DE3C19B)	-0.285	-0.917	0.258	-3.113	1.892	-5.432	-75.98	15.61	-31.25	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.302	WT901BLE68-01(48591DE3C19B)	-0.290	-0.917	0.258	-3.113	1.892	-5.432	-76.00	15.57	-31.27	-57.722	-18.816	85.456	0.78268	-0.55157	0.26276	-0.11829	28.8	13111	100
2025-3-27 17:37:6.302	WT901BLE68-01(48591DE3C19B)	-0.290	-0.903	0.254	-2.380	2.808	-5.005	-76.03	15.53	-31.30	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.302	WT901BLE68-01(48591DE3C19B)	-0.296	-0.903	0.254	-2.380	2.808	-5.005	-76.06	15.50	-31.33	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.302	WT901BLE68-01(48591DE3C19B)	-0.296	-0.896	0.251	-2.686	2.686	-4.883	-76.09	15.47	-31.36	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.332	WT901BLE68-01(48591DE3C19B)	-0.300	-0.896	0.251	-2.686	2.686	-4.883	-76.11	15.44	-31.39	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.332	WT901BLE68-01(48591DE3C19B)	-0.300	-0.891	0.246	-2.808	2.014	-4.883	-76.14	15.40	-31.41	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.332	WT901BLE68-01(48591DE3C19B)	-0.303	-0.891	0.246	-2.808	2.014	-4.883	-76.16	15.37	-31.43	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.332	WT901BLE68-01(48591DE3C19B)	-0.303	-0.874	0.239	-3.601	0.549	-4.822	-76.20	15.34	-31.44	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.362	WT901BLE68-01(48591DE3C19B)	-0.308	-0.874	0.239	-3.601	0.549	-4.822	-76.22	15.30	-31.44	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.362	WT901BLE68-01(48591DE3C19B)	-0.317	-0.854	0.227	-5.310	-1.648	-5.188	-76.27	15.26	-31.43	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
2025-3-27 17:37:6.362	WT901BLE68-01(48591DE3C19B)	-0.317	-0.831	0.212	-7.935	-4.944	-6.287	-76.32	15.22	-31.39	-57.722	-18.816	85.456	0.77399	-0.55893	0.26715	-0.13058	28.8	13111	100
