time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 17:46:14.878	WT901BLE68-01(48591DE3C19B)	-0.259	-0.910	0.328	2.014	13.916	-1.770	-69.54	17.31	-111.72	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.878	WT901BLE68-01(48591DE3C19B)	-0.259	-0.917	0.329	2.075	14.160	-3.845	-69.56	17.32	-111.83	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.878	WT901BLE68-01(48591DE3C19B)	-0.255	-0.917	0.329	2.075	14.160	-3.845	-69.59	17.32	-111.95	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.879	WT901BLE68-01(48591DE3C19B)	-0.255	-0.932	0.330	2.258	15.320	-5.493	-69.61	17.31	-112.08	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.880	WT901BLE68-01(48591DE3C19B)	-0.251	-0.932	0.330	2.258	15.320	-5.493	-69.64	17.30	-112.21	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.880	WT901BLE68-01(48591DE3C19B)	-0.251	-0.925	0.328	3.296	17.334	-6.409	-69.67	17.29	-112.36	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.881	WT901BLE68-01(48591DE3C19B)	-0.250	-0.925	0.328	3.296	17.334	-6.409	-69.69	17.27	-112.51	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.881	WT901BLE68-01(48591DE3C19B)	-0.250	-0.909	0.323	3.357	19.470	-7.263	-69.72	17.25	-112.68	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.910	WT901BLE68-01(48591DE3C19B)	-0.254	-0.909	0.323	3.357	19.470	-7.263	-69.75	17.24	-112.85	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.911	WT901BLE68-01(48591DE3C19B)	-0.254	-0.911	0.323	3.113	21.240	-8.301	-69.79	17.22	-113.03	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.911	WT901BLE68-01(48591DE3C19B)	-0.261	-0.911	0.323	3.113	21.240	-8.301	-69.83	17.20	-113.23	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.911	WT901BLE68-01(48591DE3C19B)	-0.261	-0.918	0.327	3.479	21.851	-9.155	-69.87	17.18	-113.43	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.968	WT901BLE68-01(48591DE3C19B)	-0.261	-0.918	0.327	3.479	21.851	-9.155	-69.91	17.16	-113.63	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.968	WT901BLE68-01(48591DE3C19B)	-0.261	-0.918	0.334	3.906	22.339	-10.010	-69.94	17.12	-113.83	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.968	WT901BLE68-01(48591DE3C19B)	-0.253	-0.918	0.334	3.906	22.339	-10.010	-69.98	17.09	-114.04	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.968	WT901BLE68-01(48591DE3C19B)	-0.253	-0.923	0.339	4.395	23.743	-10.437	-70.02	17.06	-114.26	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.997	WT901BLE68-01(48591DE3C19B)	-0.252	-0.923	0.339	4.395	23.743	-10.437	-70.05	17.03	-114.48	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
2025-3-27 17:46:14.998	WT901BLE68-01(48591DE3C19B)	-0.252	-0.927	0.334	5.005	25.574	-10.376	-70.09	17.01	-114.72	-54.292	-37.338	0.882	-0.52917	0.21735	-0.53369	0.62271	30.3	13111	100
