time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-2-20 15:42:30.213	WT901BLE68-00(D4622C7A0848)	0.053	-0.959	0.299	1.038	2.014	-0.305	-71.86	-3.01	9.40	4.214	19.600	20.776	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.213	WT901BLE68-00(D4622C7A0848)	0.053	-0.956	0.296	0.916	4.761	-0.244	-71.86	-3.00	9.37	4.214	19.600	20.776	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.063	-0.956	0.296	0.916	4.761	-0.244	-71.85	-2.98	9.32	4.214	19.600	20.776	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.063	-0.949	0.294	0.732	7.324	-0.610	-71.85	-2.97	9.26	4.214	19.600	20.776	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.043	-0.949	0.294	0.732	7.324	-0.610	-71.84	-2.95	9.18	4.214	19.600	20.776	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.043	-0.952	0.303	0.366	7.996	-1.038	-71.83	-2.93	9.11	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.027	-0.952	0.303	0.366	7.996	-1.038	-71.83	-2.92	9.03	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.214	WT901BLE68-00(D4622C7A0848)	0.027	-0.951	0.307	0.122	3.296	-1.282	-71.83	-2.91	8.97	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.245	WT901BLE68-00(D4622C7A0848)	0.024	-0.951	0.307	0.122	3.296	-1.282	-71.84	-2.92	8.93	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.245	WT901BLE68-00(D4622C7A0848)	0.024	-0.947	0.314	-0.366	-2.502	-0.854	-71.85	-2.92	8.92	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.245	WT901BLE68-00(D4622C7A0848)	0.037	-0.947	0.314	-0.366	-2.502	-0.854	-71.85	-2.93	8.94	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
2025-2-20 15:42:30.245	WT901BLE68-00(D4622C7A0848)	0.037	-0.943	0.315	-0.854	-5.371	-0.488	-71.86	-2.95	8.97	3.626	19.992	21.756	-0.80859	0.58209	0.06717	-0.05234	28.4	13111	100
