time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-2-27 16:11:35.320	WT901BLE68-01(48591DE3C19B)	-0.178	-0.979	0.061	-0.366	1.587	-1.038	-88.22	9.64	-53.49	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.320	WT901BLE68-01(48591DE3C19B)	-0.178	-0.979	0.061	-0.305	0.916	-0.732	-88.21	9.63	-53.51	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.320	WT901BLE68-01(48591DE3C19B)	-0.178	-0.979	0.061	-0.305	0.916	-0.732	-88.21	9.62	-53.52	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.320	WT901BLE68-01(48591DE3C19B)	-0.178	-0.973	0.059	-0.671	0.671	-0.061	-88.21	9.62	-53.54	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.357	WT901BLE68-01(48591DE3C19B)	-0.183	-0.973	0.059	-0.671	0.671	-0.061	-88.20	9.62	-53.54	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.357	WT901BLE68-01(48591DE3C19B)	-0.183	-0.979	0.059	-1.038	0.793	0.977	-88.20	9.63	-53.55	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.357	WT901BLE68-01(48591DE3C19B)	-0.177	-0.979	0.059	-1.038	0.793	0.977	-88.21	9.64	-53.56	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.357	WT901BLE68-01(48591DE3C19B)	-0.177	-0.979	0.060	-0.854	0.183	1.770	-88.21	9.66	-53.57	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.407	WT901BLE68-01(48591DE3C19B)	-0.177	-0.979	0.060	-0.854	0.183	1.770	-88.20	9.68	-53.58	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.408	WT901BLE68-01(48591DE3C19B)	-0.177	-0.983	0.062	-0.916	1.343	2.380	-88.20	9.70	-53.59	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.408	WT901BLE68-01(48591DE3C19B)	-0.184	-0.983	0.062	-0.916	1.343	2.380	-88.21	9.73	-53.61	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.408	WT901BLE68-01(48591DE3C19B)	-0.184	-0.981	0.063	-0.061	1.526	2.441	-88.20	9.76	-53.62	-84.476	-32.144	57.918	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.438	WT901BLE68-01(48591DE3C19B)	-0.183	-0.981	0.063	-0.061	1.526	2.441	-88.20	9.78	-53.64	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.438	WT901BLE68-01(48591DE3C19B)	-0.183	-0.969	0.060	0.000	0.793	2.380	-88.19	9.81	-53.66	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.439	WT901BLE68-01(48591DE3C19B)	-0.190	-0.969	0.060	0.000	0.793	2.380	-88.18	9.83	-53.66	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.439	WT901BLE68-01(48591DE3C19B)	-0.190	-0.970	0.058	0.122	0.366	2.441	-88.17	9.86	-53.67	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.467	WT901BLE68-01(48591DE3C19B)	-0.195	-0.970	0.058	0.122	0.366	2.441	-88.16	9.89	-53.68	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.467	WT901BLE68-01(48591DE3C19B)	-0.195	-0.967	0.062	0.000	-1.526	2.197	-88.14	9.92	-53.66	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.467	WT901BLE68-01(48591DE3C19B)	-0.189	-0.967	0.062	0.000	-1.526	2.197	-88.13	9.94	-53.65	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.467	WT901BLE68-01(48591DE3C19B)	-0.189	-0.968	0.061	-0.732	-2.930	1.831	-88.13	9.96	-53.62	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.558	WT901BLE68-01(48591DE3C19B)	-0.195	-0.968	0.061	-0.732	-2.930	1.831	-88.12	9.98	-53.59	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.558	WT901BLE68-01(48591DE3C19B)	-0.195	-0.984	0.060	-1.099	-3.479	1.282	-88.11	10.00	-53.56	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.558	WT901BLE68-01(48591DE3C19B)	-0.189	-0.984	0.060	-1.099	-3.479	1.282	-88.10	10.01	-53.53	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.558	WT901BLE68-01(48591DE3C19B)	-0.189	-0.997	0.052	-0.183	-4.761	0.977	-88.09	10.03	-53.48	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.560	WT901BLE68-01(48591DE3C19B)	-0.186	-0.997	0.052	-0.183	-4.761	0.977	-88.07	10.04	-53.44	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.560	WT901BLE68-01(48591DE3C19B)	-0.186	-0.983	0.050	0.671	-3.723	1.221	-88.05	10.05	-53.40	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.560	WT901BLE68-01(48591DE3C19B)	-0.177	-0.983	0.050	0.671	-3.723	1.221	-88.03	10.07	-53.37	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.560	WT901BLE68-01(48591DE3C19B)	-0.177	-0.987	0.049	-0.854	-2.441	1.587	-88.03	10.09	-53.34	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.590	WT901BLE68-01(48591DE3C19B)	-0.144	-0.987	0.049	-0.854	-2.441	1.587	-88.02	10.11	-53.32	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.590	WT901BLE68-01(48591DE3C19B)	-0.144	-0.984	0.042	-0.366	-0.427	2.747	-88.02	10.13	-53.32	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
2025-2-27 16:11:35.590	WT901BLE68-01(48591DE3C19B)	-0.137	-0.984	0.042	-0.366	-0.427	2.747	-88.01	10.16	-53.32	-84.574	-32.340	57.722	-0.66565	0.59280	-0.36545	0.26801	24.1	13111	100
