time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-2-20 15:58:7.606	WT901BLE68-00(D4622C7A0848)	0.017	-0.963	0.223	-0.366	4.517	-0.061	-76.90	-1.27	-8.00	-11.074	3.332	77.714	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.606	WT901BLE68-00(D4622C7A0848)	0.017	-0.965	0.224	-0.732	4.883	-0.183	-76.91	-1.26	-8.05	-11.074	3.332	77.714	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.606	WT901BLE68-00(D4622C7A0848)	0.018	-0.965	0.224	-0.732	4.883	-0.183	-76.92	-1.26	-8.10	-11.074	3.332	77.714	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.606	WT901BLE68-00(D4622C7A0848)	0.018	-0.968	0.225	-0.793	5.493	-0.671	-76.92	-1.25	-8.16	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.607	WT901BLE68-00(D4622C7A0848)	0.015	-0.968	0.225	-0.793	5.493	-0.671	-76.93	-1.24	-8.22	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.607	WT901BLE68-00(D4622C7A0848)	0.015	-0.970	0.220	-0.854	4.578	-0.854	-76.94	-1.24	-8.27	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.607	WT901BLE68-00(D4622C7A0848)	0.020	-0.970	0.220	-0.854	4.578	-0.854	-76.94	-1.24	-8.32	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.607	WT901BLE68-00(D4622C7A0848)	0.020	-0.973	0.222	-1.221	3.174	-0.183	-76.95	-1.23	-8.36	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.666	WT901BLE68-00(D4622C7A0848)	0.029	-0.973	0.222	-1.221	3.174	-0.183	-76.96	-1.22	-8.39	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.666	WT901BLE68-00(D4622C7A0848)	0.029	-0.967	0.228	0.183	0.000	-0.549	-76.96	-1.23	-8.39	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.666	WT901BLE68-00(D4622C7A0848)	0.022	-0.967	0.228	0.183	0.000	-0.549	-76.96	-1.24	-8.40	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
2025-2-20 15:58:7.666	WT901BLE68-00(D4622C7A0848)	0.022	-0.959	0.239	-1.221	1.587	0.000	-76.98	-1.24	-8.42	-11.564	3.038	77.910	-0.78201	0.61957	-0.03519	0.05695	28.4	13111	100
