time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-6 14:42:13.564	WT901BLE68-01(48591DE3C19B)	-0.188	-0.971	0.165	-3.296	30.823	4.578	-79.36	10.02	-62.04	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.564	WT901BLE68-01(48591DE3C19B)	-0.188	-0.986	0.159	-3.296	33.997	5.493	-79.45	10.13	-62.27	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.564	WT901BLE68-01(48591DE3C19B)	-0.212	-0.986	0.159	-3.296	33.997	5.493	-79.55	10.24	-62.49	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.564	WT901BLE68-01(48591DE3C19B)	-0.212	-0.982	0.156	-1.770	28.076	4.944	-79.61	10.33	-62.65	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.593	WT901BLE68-01(48591DE3C19B)	-0.217	-0.982	0.156	-1.770	28.076	4.944	-79.68	10.43	-62.80	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.593	WT901BLE68-01(48591DE3C19B)	-0.217	-0.973	0.150	-0.549	17.273	3.967	-79.72	10.49	-62.85	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.593	WT901BLE68-01(48591DE3C19B)	-0.228	-0.973	0.150	-0.549	17.273	3.967	-79.76	10.56	-62.90	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.593	WT901BLE68-01(48591DE3C19B)	-0.228	-0.974	0.148	0.854	3.906	2.625	-79.77	10.59	-62.80	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.624	WT901BLE68-01(48591DE3C19B)	-0.196	-0.974	0.148	0.854	3.906	2.625	-79.77	10.62	-62.71	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.624	WT901BLE68-01(48591DE3C19B)	-0.196	-0.969	0.156	2.014	-6.042	0.916	-79.74	10.62	-62.52	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.624	WT901BLE68-01(48591DE3C19B)	-0.171	-0.969	0.156	2.014	-6.042	0.916	-79.72	10.62	-62.34	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.624	WT901BLE68-01(48591DE3C19B)	-0.171	-0.967	0.159	2.136	-8.240	0.122	-79.68	10.61	-62.13	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.714	WT901BLE68-01(48591DE3C19B)	-0.161	-0.967	0.159	2.136	-8.240	0.122	-79.66	10.59	-61.92	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.714	WT901BLE68-01(48591DE3C19B)	-0.161	-0.965	0.158	1.831	-7.263	-0.244	-79.63	10.57	-61.73	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
2025-3-6 14:42:13.715	WT901BLE68-01(48591DE3C19B)	-0.160	-0.965	0.158	1.831	-7.263	-0.244	-79.61	10.56	-61.53	-32.438	-46.550	32.242	0.68362	-0.50565	0.38782	-0.35559	30.8	13111	100
