time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-7 0:3:19.435	WT901BLE68-01(48591DE3C19B)	0.303	0.395	0.991	10.620	-13.794	-1.343	30.33	-38.90	-145.54	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.435	WT901BLE68-01(48591DE3C19B)	0.316	0.395	0.991	10.620	-13.794	-1.343	30.44	-38.88	-145.65	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.435	WT901BLE68-01(48591DE3C19B)	0.316	0.408	0.993	2.502	-3.662	-8.057	30.51	-38.79	-145.76	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.435	WT901BLE68-01(48591DE3C19B)	0.323	0.408	0.993	2.502	-3.662	-8.057	30.55	-38.66	-145.88	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.465	WT901BLE68-01(48591DE3C19B)	0.323	0.389	0.964	3.235	8.850	-13.489	30.59	-38.45	-145.98	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.465	WT901BLE68-01(48591DE3C19B)	0.320	0.389	0.964	3.235	8.850	-13.489	30.62	-38.17	-146.07	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.465	WT901BLE68-01(48591DE3C19B)	0.320	0.363	0.919	6.531	16.479	-16.418	30.66	-37.86	-146.16	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.465	WT901BLE68-01(48591DE3C19B)	0.318	0.363	0.919	6.531	16.479	-16.418	30.71	-37.51	-146.23	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.526	WT901BLE68-01(48591DE3C19B)	0.318	0.367	0.870	7.141	15.747	-16.357	30.76	-37.17	-146.31	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.526	WT901BLE68-01(48591DE3C19B)	0.308	0.367	0.870	7.141	15.747	-16.357	30.82	-36.83	-146.38	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.526	WT901BLE68-01(48591DE3C19B)	0.308	0.362	0.850	9.094	12.939	-16.907	30.92	-36.52	-146.49	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.526	WT901BLE68-01(48591DE3C19B)	0.301	0.362	0.850	9.094	12.939	-16.907	31.00	-36.21	-146.58	-37.240	-54.586	44.590	0.36493	-0.25110	-0.35681	-0.82242	29.9	13111	100
2025-3-7 0:3:19.555	WT901BLE68-01(48591DE3C19B)	0.301	0.360	0.854	8.972	8.118	-16.052	31.11	-35.94	-146.70	-37.240	-54.586	44.590	0.34125	-0.21069	-0.32956	-0.85464	29.9	13111	100
2025-3-7 0:3:19.556	WT901BLE68-01(48591DE3C19B)	0.292	0.360	0.854	8.972	8.118	-16.052	31.21	-35.68	-146.82	-37.240	-54.586	44.590	0.34125	-0.21069	-0.32956	-0.85464	29.9	13111	100
2025-3-7 0:3:19.556	WT901BLE68-01(48591DE3C19B)	0.292	0.356	0.867	6.531	5.798	-14.832	31.28	-35.45	-146.94	-37.240	-54.586	44.590	0.34125	-0.21069	-0.32956	-0.85464	29.9	13111	100
2025-3-7 0:3:19.556	WT901BLE68-01(48591DE3C19B)	0.285	0.356	0.867	6.531	5.798	-14.832	31.35	-35.21	-147.05	-37.240	-54.586	44.590	0.34125	-0.21069	-0.32956	-0.85464	29.9	13111	100
