time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-7 0:5:28.257	WT901BLE68-01(48591DE3C19B)	0.441	-0.756	0.472	-0.488	3.784	-0.793	-63.84	-23.06	-87.62	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.257	WT901BLE68-01(48591DE3C19B)	0.441	-0.754	0.458	0.000	1.526	-0.305	-63.79	-23.08	-87.69	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.257	WT901BLE68-01(48591DE3C19B)	0.446	-0.754	0.458	0.000	1.526	-0.305	-63.75	-23.10	-87.74	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.257	WT901BLE68-01(48591DE3C19B)	0.446	-0.750	0.460	1.160	0.488	-1.404	-63.72	-23.13	-87.80	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.288	WT901BLE68-01(48591DE3C19B)	0.442	-0.750	0.460	1.160	0.488	-1.404	-63.67	-23.16	-87.85	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.288	WT901BLE68-01(48591DE3C19B)	0.442	-0.755	0.464	1.770	0.305	-1.343	-63.62	-23.19	-87.90	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.288	WT901BLE68-01(48591DE3C19B)	0.439	-0.755	0.464	1.770	0.305	-1.343	-63.57	-23.23	-87.95	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.288	WT901BLE68-01(48591DE3C19B)	0.439	-0.756	0.470	3.113	-0.061	-0.854	-63.50	-23.26	-87.99	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.348	WT901BLE68-01(48591DE3C19B)	0.441	-0.756	0.470	3.113	-0.061	-0.854	-63.44	-23.29	-88.03	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.349	WT901BLE68-01(48591DE3C19B)	0.441	-0.761	0.473	5.127	0.977	-0.488	-63.35	-23.31	-88.08	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.349	WT901BLE68-01(48591DE3C19B)	0.436	-0.761	0.473	5.127	0.977	-0.488	-63.27	-23.33	-88.13	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.349	WT901BLE68-01(48591DE3C19B)	0.436	-0.768	0.468	9.460	-2.075	1.709	-63.16	-23.35	-88.14	-87.416	-60.270	27.048	0.53384	-0.49554	0.24384	-0.64020	31.0	13111	100
2025-3-7 0:5:28.377	WT901BLE68-01(48591DE3C19B)	0.438	-0.768	0.468	9.460	-2.075	1.709	-63.05	-23.36	-88.15	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.377	WT901BLE68-01(48591DE3C19B)	0.438	-0.753	0.475	27.588	-12.024	1.770	-62.80	-23.42	-88.06	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.377	WT901BLE68-01(48591DE3C19B)	0.445	-0.753	0.475	27.588	-12.024	1.770	-62.55	-23.48	-87.97	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.377	WT901BLE68-01(48591DE3C19B)	0.445	-0.759	0.479	25.269	-8.789	-2.258	-62.30	-23.55	-87.94	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.407	WT901BLE68-01(48591DE3C19B)	0.441	-0.759	0.479	25.269	-8.789	-2.258	-62.05	-23.64	-87.91	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.407	WT901BLE68-01(48591DE3C19B)	0.441	-0.739	0.479	20.996	-5.371	-7.935	-61.83	-23.75	-87.93	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.408	WT901BLE68-01(48591DE3C19B)	0.458	-0.739	0.479	20.996	-5.371	-7.935	-61.59	-23.86	-87.96	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.408	WT901BLE68-01(48591DE3C19B)	0.458	-0.736	0.483	12.329	-1.343	-2.441	-61.45	-23.91	-88.00	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.468	WT901BLE68-01(48591DE3C19B)	0.441	-0.736	0.483	12.329	-1.343	-2.441	-61.31	-23.95	-88.04	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.468	WT901BLE68-01(48591DE3C19B)	0.441	-0.749	0.479	-1.038	-1.770	-3.418	-61.30	-24.01	-88.08	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.468	WT901BLE68-01(48591DE3C19B)	0.438	-0.749	0.479	-1.038	-1.770	-3.418	-61.29	-24.06	-88.12	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.468	WT901BLE68-01(48591DE3C19B)	0.438	-0.746	0.482	-2.686	-3.113	-0.793	-61.30	-24.10	-88.13	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.497	WT901BLE68-01(48591DE3C19B)	0.431	-0.746	0.482	-2.686	-3.113	-0.793	-61.32	-24.14	-88.14	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
2025-3-7 0:5:28.497	WT901BLE68-01(48591DE3C19B)	0.215	-0.743	0.489	1.770	-9.094	6.531	-61.33	-24.14	-88.06	-87.416	-60.270	27.048	0.52670	-0.48752	0.23108	-0.65680	31.0	13111	100
