time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-7 0:2:52.18	WT901BLE68-01(48591DE3C19B)	-0.078	-0.304	0.943	-0.854	0.000	0.793	-19.59	4.96	-117.49	-28.616	-29.890	48.902	0.51801	-0.05185	0.16400	-0.83783	29.9	13111	100
2025-3-7 0:2:52.18	WT901BLE68-01(48591DE3C19B)	-0.076	-0.304	0.943	-0.854	0.000	0.793	-19.59	4.96	-117.49	-28.616	-29.890	48.902	0.51801	-0.05185	0.16400	-0.83783	29.9	13111	100
2025-3-7 0:2:52.18	WT901BLE68-01(48591DE3C19B)	-0.076	-0.304	0.948	-0.244	-0.427	0.183	-19.58	4.95	-117.50	-28.616	-29.890	48.902	0.51801	-0.05185	0.16400	-0.83783	29.9	13111	100
2025-3-7 0:2:52.18	WT901BLE68-01(48591DE3C19B)	-0.071	-0.304	0.948	-0.244	-0.427	0.183	-19.58	4.95	-117.50	-28.616	-29.890	48.902	0.51801	-0.05185	0.16400	-0.83783	29.9	13111	100
2025-3-7 0:2:52.45	WT901BLE68-01(48591DE3C19B)	-0.071	-0.299	0.958	-0.671	-0.183	-0.366	-19.58	4.94	-117.52	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.46	WT901BLE68-01(48591DE3C19B)	-0.070	-0.299	0.958	-0.671	-0.183	-0.366	-19.57	4.94	-117.53	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.46	WT901BLE68-01(48591DE3C19B)	-0.070	-0.307	0.958	-1.160	0.305	-1.099	-19.58	4.93	-117.55	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.46	WT901BLE68-01(48591DE3C19B)	-0.070	-0.307	0.958	-1.160	0.305	-1.099	-19.58	4.93	-117.58	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.76	WT901BLE68-01(48591DE3C19B)	-0.070	-0.317	0.960	-1.404	-0.122	-0.793	-19.58	4.92	-117.59	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.76	WT901BLE68-01(48591DE3C19B)	-0.071	-0.317	0.960	-1.404	-0.122	-0.793	-19.59	4.92	-117.61	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.76	WT901BLE68-01(48591DE3C19B)	-0.071	-0.315	0.965	-0.854	0.000	-0.305	-19.59	4.91	-117.63	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.76	WT901BLE68-01(48591DE3C19B)	-0.076	-0.315	0.965	-0.854	0.000	-0.305	-19.59	4.91	-117.64	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.136	WT901BLE68-01(48591DE3C19B)	-0.076	-0.305	0.955	-0.916	-0.122	0.000	-19.59	4.90	-117.64	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
2025-3-7 0:2:52.136	WT901BLE68-01(48591DE3C19B)	-0.079	-0.305	0.955	-0.916	-0.122	0.000	-19.59	4.89	-117.65	-28.616	-29.890	48.902	0.51678	-0.05173	0.16727	-0.83795	29.9	13111	100
