time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-6 14:39:44.586	WT901BLE68-01(48591DE3C19B)	-0.138	0.146	0.987	-4.333	3.235	-0.549	13.21	-6.94	-144.30	-33.026	-20.482	49.980	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.586	WT901BLE68-01(48591DE3C19B)	-0.142	0.146	0.987	-4.333	3.235	-0.549	13.13	-6.82	-144.24	-33.026	-20.482	49.980	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.586	WT901BLE68-01(48591DE3C19B)	-0.142	0.137	0.981	-1.648	2.991	0.000	13.08	-6.71	-144.18	-33.026	-20.482	49.980	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.586	WT901BLE68-01(48591DE3C19B)	-0.138	0.137	0.981	-1.648	2.991	0.000	13.04	-6.60	-144.12	-33.026	-20.482	49.980	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.644	WT901BLE68-01(48591DE3C19B)	-0.138	0.135	0.992	3.479	2.991	0.916	13.04	-6.48	-144.05	-33.026	-20.482	49.980	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.644	WT901BLE68-01(48591DE3C19B)	-0.140	0.135	0.992	3.479	2.991	0.916	13.04	-6.37	-143.98	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.644	WT901BLE68-01(48591DE3C19B)	-0.140	0.138	0.984	4.272	8.484	3.479	13.04	-6.22	-143.87	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.644	WT901BLE68-01(48591DE3C19B)	-0.144	0.138	0.984	4.272	8.484	3.479	13.04	-6.06	-143.77	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.674	WT901BLE68-01(48591DE3C19B)	-0.140	0.150	0.979	2.502	14.099	3.540	13.02	-5.85	-143.65	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.674	WT901BLE68-01(48591DE3C19B)	-0.140	0.133	0.992	19.409	29.724	6.287	13.09	-5.57	-143.50	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.674	WT901BLE68-01(48591DE3C19B)	-0.118	0.133	0.992	19.409	29.724	6.287	13.24	-5.22	-143.32	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.674	WT901BLE68-01(48591DE3C19B)	-0.118	0.156	1.009	24.109	46.204	2.686	13.41	-4.78	-143.14	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.703	WT901BLE68-01(48591DE3C19B)	0.045	0.156	1.009	24.109	46.204	2.686	13.60	-4.27	-142.95	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.703	WT901BLE68-01(48591DE3C19B)	0.045	0.071	1.083	23.315	103.577	14.954	13.79	-3.50	-142.64	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.703	WT901BLE68-01(48591DE3C19B)	-0.017	0.071	1.083	23.315	103.577	14.954	13.96	-2.48	-142.19	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.703	WT901BLE68-01(48591DE3C19B)	-0.017	-0.035	1.217	4.150	219.971	47.241	14.03	-0.94	-141.43	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.764	WT901BLE68-01(48591DE3C19B)	-0.285	-0.035	1.217	4.150	219.971	47.241	14.02	1.09	-140.38	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.764	WT901BLE68-01(48591DE3C19B)	-0.285	-0.035	1.175	9.216	267.822	84.351	14.08	3.30	-139.09	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.764	WT901BLE68-01(48591DE3C19B)	-0.464	-0.035	1.175	9.216	267.822	84.351	14.23	5.70	-137.56	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.764	WT901BLE68-01(48591DE3C19B)	-0.464	0.098	1.006	10.742	180.969	90.027	14.44	7.65	-136.12	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.796	WT901BLE68-01(48591DE3C19B)	-0.475	0.098	1.006	10.742	180.969	90.027	14.68	9.17	-134.75	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.796	WT901BLE68-01(48591DE3C19B)	-0.475	0.097	0.938	-13.306	78.857	102.295	14.82	10.18	-133.48	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.796	WT901BLE68-01(48591DE3C19B)	-0.534	0.097	0.938	-13.306	78.857	102.295	14.85	10.69	-132.29	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.796	WT901BLE68-01(48591DE3C19B)	-0.534	0.272	0.808	-8.789	51.819	110.901	14.91	11.07	-131.11	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.826	WT901BLE68-01(48591DE3C19B)	-0.487	0.272	0.808	-8.789	51.819	110.901	15.01	11.31	-129.95	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.826	WT901BLE68-01(48591DE3C19B)	-0.487	0.296	0.663	4.089	36.743	92.712	15.16	11.51	-128.92	-33.516	-20.188	50.372	-0.30707	0.03461	0.13882	0.94083	30.0	13111	100
2025-3-6 14:39:44.826	WT901BLE68-01(48591DE3C19B)	-0.472	0.296	0.663	4.089	36.743	92.712	15.38	11.67	-128.03	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.826	WT901BLE68-01(48591DE3C19B)	-0.472	0.265	0.606	16.418	17.090	89.783	15.65	11.73	-127.20	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.884	WT901BLE68-01(48591DE3C19B)	-0.430	0.265	0.606	16.418	17.090	89.783	15.99	11.72	-126.43	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.884	WT901BLE68-01(48591DE3C19B)	-0.430	0.314	0.630	44.006	0.549	89.355	16.46	11.62	-125.70	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.884	WT901BLE68-01(48591DE3C19B)	-0.274	0.314	0.630	44.006	0.549	89.355	17.07	11.44	-125.01	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.884	WT901BLE68-01(48591DE3C19B)	-0.274	0.422	0.619	71.167	-65.186	115.662	17.82	10.90	-124.31	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
2025-3-6 14:39:44.914	WT901BLE68-01(48591DE3C19B)	-0.120	0.422	0.619	71.167	-65.186	115.662	18.70	10.00	-123.61	-33.516	-20.188	50.372	-0.41965	-0.14886	0.07550	0.89215	30.0	13111	100
