time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 15:8:10.777	WT901BLE68-01(48591DE3C19B)	-0.421	-0.868	0.303	0.183	15.259	-7.874	-74.47	24.09	-15.10	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.778	WT901BLE68-01(48591DE3C19B)	-0.427	-0.868	0.303	0.183	15.259	-7.874	-74.52	24.04	-15.35	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.778	WT901BLE68-01(48591DE3C19B)	-0.427	-0.859	0.301	0.244	16.541	-6.714	-74.57	24.01	-15.60	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.778	WT901BLE68-01(48591DE3C19B)	-0.447	-0.859	0.301	0.244	16.541	-6.714	-74.62	23.98	-15.85	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.805	WT901BLE68-01(48591DE3C19B)	-0.447	-0.846	0.303	0.000	15.808	-5.676	-74.67	23.96	-16.10	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.805	WT901BLE68-01(48591DE3C19B)	-0.469	-0.846	0.303	0.000	15.808	-5.676	-74.72	23.93	-16.34	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.805	WT901BLE68-01(48591DE3C19B)	-0.469	-0.839	0.307	-1.038	12.634	-4.883	-74.77	23.92	-16.55	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.805	WT901BLE68-01(48591DE3C19B)	-0.480	-0.839	0.307	-1.038	12.634	-4.883	-74.82	23.91	-16.75	-59.584	-16.562	91.728	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.834	WT901BLE68-01(48591DE3C19B)	-0.480	-0.843	0.302	-1.953	7.446	-4.150	-74.85	23.89	-16.92	-62.328	-16.660	91.826	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
2025-3-27 15:8:10.834	WT901BLE68-01(48591DE3C19B)	-0.465	-0.843	0.302	-1.953	7.446	-4.150	-74.88	23.87	-17.05	-62.328	-16.660	91.826	-0.78867	0.56458	-0.23917	-0.04431	31.3	13111	100
