time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 15:13:41.252	WT901BLE68-01(48591DE3C19B)	-0.155	-0.956	0.226	-0.793	0.977	-1.343	-77.76	8.75	-36.30	-67.522	-14.014	92.022	0.75333	-0.57562	0.25183	-0.19394	31.3	13111	100
2025-3-27 15:13:41.252	WT901BLE68-01(48591DE3C19B)	-0.155	-0.964	0.228	-0.549	1.709	-1.404	-77.76	8.74	-36.31	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.252	WT901BLE68-01(48591DE3C19B)	-0.157	-0.964	0.228	-0.549	1.709	-1.404	-77.76	8.73	-36.33	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.252	WT901BLE68-01(48591DE3C19B)	-0.157	-0.957	0.229	-0.244	1.160	-1.282	-77.76	8.72	-36.34	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.253	WT901BLE68-01(48591DE3C19B)	-0.160	-0.957	0.229	-0.244	1.160	-1.282	-77.76	8.71	-36.34	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.253	WT901BLE68-01(48591DE3C19B)	-0.160	-0.965	0.226	-0.916	0.793	-0.977	-77.76	8.71	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.253	WT901BLE68-01(48591DE3C19B)	-0.162	-0.965	0.226	-0.916	0.793	-0.977	-77.77	8.70	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.253	WT901BLE68-01(48591DE3C19B)	-0.162	-0.971	0.226	-0.610	0.366	-0.671	-77.77	8.70	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.283	WT901BLE68-01(48591DE3C19B)	-0.158	-0.971	0.226	-0.610	0.366	-0.671	-77.77	8.69	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.283	WT901BLE68-01(48591DE3C19B)	-0.158	-0.968	0.228	-0.610	0.183	-0.183	-77.77	8.69	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.283	WT901BLE68-01(48591DE3C19B)	-0.154	-0.968	0.228	-0.610	0.183	-0.183	-77.77	8.69	-36.34	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.284	WT901BLE68-01(48591DE3C19B)	-0.154	-0.963	0.228	-0.183	1.038	0.366	-77.77	8.70	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.372	WT901BLE68-01(48591DE3C19B)	-0.153	-0.963	0.228	-0.183	1.038	0.366	-77.76	8.71	-36.35	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.373	WT901BLE68-01(48591DE3C19B)	-0.153	-0.953	0.228	-0.122	2.075	0.732	-77.76	8.72	-36.36	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
2025-3-27 15:13:41.373	WT901BLE68-01(48591DE3C19B)	-0.151	-0.953	0.228	-0.122	2.075	0.732	-77.76	8.73	-36.38	-67.522	-14.014	92.022	0.75241	-0.57617	0.25140	-0.19641	31.3	13111	100
