time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 17:54:58.543	WT901BLE68-01(48591DE3C19B)	-0.282	-0.904	0.288	-0.671	1.526	-10.986	-72.65	16.27	-115.95	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.543	WT901BLE68-01(48591DE3C19B)	-0.282	-0.923	0.292	-0.427	0.977	-11.169	-72.67	16.16	-115.97	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.544	WT901BLE68-01(48591DE3C19B)	-0.287	-0.923	0.292	-0.427	0.977	-11.169	-72.69	16.06	-115.98	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.544	WT901BLE68-01(48591DE3C19B)	-0.287	-0.934	0.294	0.610	0.549	-10.498	-72.70	15.95	-115.99	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.573	WT901BLE68-01(48591DE3C19B)	-0.288	-0.934	0.294	0.610	0.549	-10.498	-72.70	15.85	-116.00	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.573	WT901BLE68-01(48591DE3C19B)	-0.288	-0.933	0.290	1.343	1.160	-9.094	-72.70	15.76	-116.02	-65.856	-55.566	-2.450	0.48883	-0.21906	0.54953	-0.64105	30.7	13111	100
2025-3-27 17:54:58.574	WT901BLE68-01(48591DE3C19B)	-0.291	-0.933	0.290	1.343	1.160	-9.094	-72.70	15.68	-116.03	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
2025-3-27 17:54:58.574	WT901BLE68-01(48591DE3C19B)	-0.291	-0.929	0.286	1.587	2.441	-7.568	-72.70	15.61	-116.04	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
2025-3-27 17:54:58.632	WT901BLE68-01(48591DE3C19B)	-0.295	-0.929	0.286	1.587	2.441	-7.568	-72.70	15.55	-116.07	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
2025-3-27 17:54:58.632	WT901BLE68-01(48591DE3C19B)	-0.295	-0.935	0.289	1.648	3.174	-5.798	-72.69	15.50	-116.09	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
2025-3-27 17:54:58.632	WT901BLE68-01(48591DE3C19B)	-0.295	-0.935	0.289	1.648	3.174	-5.798	-72.69	15.46	-116.11	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
2025-3-27 17:54:58.632	WT901BLE68-01(48591DE3C19B)	-0.295	-0.935	0.289	2.075	3.601	-4.028	-72.68	15.44	-116.13	-65.856	-55.566	-2.450	0.49100	-0.21805	0.55609	-0.63406	30.7	13111	100
