time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 18:5:10.203	WT901BLE68-01(48591DE3C19B)	-0.250	-0.930	0.280	6.592	18.433	60.974	-72.13	15.80	-120.83	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.203	WT901BLE68-01(48591DE3C19B)	-0.250	-0.924	0.286	5.005	15.808	58.716	-72.08	16.40	-120.76	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.203	WT901BLE68-01(48591DE3C19B)	-0.247	-0.924	0.286	5.005	15.808	58.716	-72.03	17.00	-120.68	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.203	WT901BLE68-01(48591DE3C19B)	-0.247	-0.907	0.285	4.456	14.404	54.382	-71.99	17.55	-120.61	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.234	WT901BLE68-01(48591DE3C19B)	-0.246	-0.907	0.285	4.456	14.404	54.382	-71.94	18.10	-120.54	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.234	WT901BLE68-01(48591DE3C19B)	-0.246	-0.894	0.277	3.235	13.245	48.279	-71.91	18.58	-120.48	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.234	WT901BLE68-01(48591DE3C19B)	-0.251	-0.894	0.277	3.235	13.245	48.279	-71.88	19.06	-120.42	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.234	WT901BLE68-01(48591DE3C19B)	-0.251	-0.886	0.269	2.258	11.475	41.138	-71.86	19.46	-120.36	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.263	WT901BLE68-01(48591DE3C19B)	-0.257	-0.886	0.269	2.258	11.475	41.138	-71.84	19.86	-120.30	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
2025-3-27 18:5:10.263	WT901BLE68-01(48591DE3C19B)	-0.257	-0.878	0.271	1.343	7.568	33.508	-71.82	20.17	-120.23	-63.602	-41.160	-7.056	0.43887	-0.24542	0.54501	-0.67084	31.1	13111	100
