time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 14:55:41.739	WT901BLE68-01(48591DE3C19B)	-0.197	-0.947	0.247	-1.282	1.831	0.244	-77.05	11.55	-95.22	-78.106	-33.908	2.646	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.739	WT901BLE68-01(48591DE3C19B)	-0.197	-0.947	0.246	-1.343	2.197	0.305	-77.05	11.56	-95.24	-78.106	-33.908	2.646	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.739	WT901BLE68-01(48591DE3C19B)	-0.197	-0.947	0.246	-1.343	2.197	0.305	-77.06	11.56	-95.26	-78.106	-33.908	2.646	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.740	WT901BLE68-01(48591DE3C19B)	-0.197	-0.950	0.247	-1.343	2.686	0.305	-77.07	11.57	-95.28	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.772	WT901BLE68-01(48591DE3C19B)	-0.199	-0.950	0.247	-1.343	2.686	0.305	-77.08	11.58	-95.31	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.772	WT901BLE68-01(48591DE3C19B)	-0.199	-0.952	0.249	-1.038	3.113	0.244	-77.09	11.59	-95.33	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.772	WT901BLE68-01(48591DE3C19B)	-0.201	-0.952	0.249	-1.038	3.113	0.244	-77.09	11.60	-95.36	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.772	WT901BLE68-01(48591DE3C19B)	-0.201	-0.951	0.249	-0.916	3.052	0.183	-77.10	11.60	-95.39	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.773	WT901BLE68-01(48591DE3C19B)	-0.200	-0.951	0.249	-0.916	3.052	0.183	-77.10	11.61	-95.42	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.773	WT901BLE68-01(48591DE3C19B)	-0.200	-0.948	0.245	-0.916	2.625	0.061	-77.11	11.61	-95.44	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.773	WT901BLE68-01(48591DE3C19B)	-0.200	-0.948	0.245	-0.916	2.625	0.061	-77.11	11.62	-95.47	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.773	WT901BLE68-01(48591DE3C19B)	-0.200	-0.946	0.246	-0.854	1.831	-0.122	-77.11	11.62	-95.48	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.890	WT901BLE68-01(48591DE3C19B)	-0.197	-0.946	0.246	-0.854	1.831	-0.122	-77.11	11.62	-95.49	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.891	WT901BLE68-01(48591DE3C19B)	-0.197	-0.941	0.250	-0.793	1.343	-0.366	-77.11	11.62	-95.50	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.891	WT901BLE68-01(48591DE3C19B)	-0.196	-0.941	0.250	-0.793	1.343	-0.366	-77.11	11.62	-95.52	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
2025-3-27 14:55:41.891	WT901BLE68-01(48591DE3C19B)	-0.196	-0.940	0.248	-1.160	1.587	-0.732	-77.12	11.61	-95.53	-78.106	-33.516	2.450	-0.57199	0.36102	-0.50833	0.53290	30.5	13111	100
