time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 14:52:50.626	WT901BLE68-01(48591DE3C19B)	-0.361	-0.907	0.285	-0.916	-0.305	-22.278	-74.53	20.54	-19.39	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.626	WT901BLE68-01(48591DE3C19B)	-0.361	-0.907	0.285	-0.916	-0.305	-22.278	-74.55	20.32	-19.41	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.626	WT901BLE68-01(48591DE3C19B)	-0.361	-0.929	0.279	-0.427	0.916	-21.484	-74.57	20.12	-19.45	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.626	WT901BLE68-01(48591DE3C19B)	-0.362	-0.929	0.279	-0.427	0.916	-21.484	-74.59	19.92	-19.48	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.657	WT901BLE68-01(48591DE3C19B)	-0.362	-0.934	0.283	1.831	2.686	-19.653	-74.59	19.74	-19.52	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.657	WT901BLE68-01(48591DE3C19B)	-0.365	-0.934	0.283	1.831	2.686	-19.653	-74.59	19.56	-19.57	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.657	WT901BLE68-01(48591DE3C19B)	-0.365	-0.925	0.286	2.502	4.395	-16.968	-74.58	19.42	-19.62	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.657	WT901BLE68-01(48591DE3C19B)	-0.364	-0.925	0.286	2.502	4.395	-16.968	-74.58	19.27	-19.68	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.686	WT901BLE68-01(48591DE3C19B)	-0.364	-0.919	0.281	3.418	6.470	-13.733	-74.56	19.17	-19.74	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.687	WT901BLE68-01(48591DE3C19B)	-0.367	-0.919	0.281	3.418	6.470	-13.733	-74.55	19.06	-19.81	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.687	WT901BLE68-01(48591DE3C19B)	-0.367	-0.905	0.276	4.578	7.996	-10.254	-74.54	18.99	-19.88	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.687	WT901BLE68-01(48591DE3C19B)	-0.375	-0.905	0.276	4.578	7.996	-10.254	-74.51	18.92	-19.95	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.747	WT901BLE68-01(48591DE3C19B)	-0.374	-0.898	0.275	3.967	7.324	-6.897	-74.50	18.89	-20.00	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.747	WT901BLE68-01(48591DE3C19B)	-0.374	-0.896	0.271	3.357	5.493	-4.272	-74.48	18.86	-20.03	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.747	WT901BLE68-01(48591DE3C19B)	-0.367	-0.896	0.271	3.357	5.493	-4.272	-74.46	18.85	-20.06	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.747	WT901BLE68-01(48591DE3C19B)	-0.367	-0.891	0.266	3.052	4.150	-2.441	-74.44	18.84	-20.07	-37.436	-44.394	71.246	-0.79016	0.55219	-0.26559	0.00946	30.4	13111	100
2025-3-27 14:52:50.780	WT901BLE68-01(48591DE3C19B)	-0.365	-0.891	0.266	3.052	4.150	-2.441	-74.42	18.85	-20.08	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.780	WT901BLE68-01(48591DE3C19B)	-0.365	-0.890	0.261	2.441	3.357	-1.465	-74.39	18.85	-20.07	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.780	WT901BLE68-01(48591DE3C19B)	-0.360	-0.890	0.261	2.441	3.357	-1.465	-74.38	18.86	-20.07	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.780	WT901BLE68-01(48591DE3C19B)	-0.360	-0.894	0.260	1.892	2.625	-1.099	-74.36	18.87	-20.06	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.809	WT901BLE68-01(48591DE3C19B)	-0.357	-0.894	0.260	1.892	2.625	-1.099	-74.34	18.88	-20.04	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.810	WT901BLE68-01(48591DE3C19B)	-0.357	-0.899	0.258	1.648	3.052	-1.221	-74.33	18.89	-20.03	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.810	WT901BLE68-01(48591DE3C19B)	-0.359	-0.899	0.258	1.648	3.052	-1.221	-74.32	18.90	-20.02	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.810	WT901BLE68-01(48591DE3C19B)	-0.359	-0.902	0.260	1.770	3.479	-1.282	-74.31	18.91	-20.01	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.867	WT901BLE68-01(48591DE3C19B)	-0.360	-0.902	0.260	1.770	3.479	-1.282	-74.30	18.92	-20.01	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.867	WT901BLE68-01(48591DE3C19B)	-0.360	-0.898	0.258	1.770	3.357	-1.099	-74.30	18.93	-20.00	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.867	WT901BLE68-01(48591DE3C19B)	-0.358	-0.898	0.258	1.770	3.357	-1.099	-74.28	18.94	-20.00	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.867	WT901BLE68-01(48591DE3C19B)	-0.358	-0.896	0.258	1.404	3.235	-0.305	-74.28	18.96	-19.98	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.898	WT901BLE68-01(48591DE3C19B)	-0.356	-0.896	0.258	1.404	3.235	-0.305	-74.27	18.98	-19.98	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.898	WT901BLE68-01(48591DE3C19B)	-0.356	-0.897	0.258	1.343	3.174	1.038	-74.26	19.00	-19.96	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.898	WT901BLE68-01(48591DE3C19B)	-0.354	-0.897	0.258	1.343	3.174	1.038	-74.26	19.03	-19.95	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.898	WT901BLE68-01(48591DE3C19B)	-0.354	-0.898	0.262	1.343	3.601	2.686	-74.25	19.07	-19.94	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.927	WT901BLE68-01(48591DE3C19B)	-0.353	-0.898	0.262	1.343	3.601	2.686	-74.25	19.12	-19.92	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.927	WT901BLE68-01(48591DE3C19B)	-0.353	-0.898	0.263	1.221	3.601	4.578	-74.24	19.17	-19.91	-37.436	-44.394	71.246	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.927	WT901BLE68-01(48591DE3C19B)	-0.352	-0.898	0.263	1.221	3.601	4.578	-74.23	19.24	-19.89	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.927	WT901BLE68-01(48591DE3C19B)	-0.352	-0.897	0.261	0.916	3.113	6.042	-74.22	19.31	-19.87	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.986	WT901BLE68-01(48591DE3C19B)	-0.353	-0.897	0.261	0.916	3.113	6.042	-74.22	19.39	-19.84	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.987	WT901BLE68-01(48591DE3C19B)	-0.353	-0.902	0.264	0.305	2.075	6.958	-74.21	19.46	-19.81	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.987	WT901BLE68-01(48591DE3C19B)	-0.351	-0.902	0.264	0.305	2.075	6.958	-74.21	19.54	-19.77	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:50.987	WT901BLE68-01(48591DE3C19B)	-0.351	-0.908	0.266	-0.061	0.854	7.385	-74.20	19.62	-19.73	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.16	WT901BLE68-01(48591DE3C19B)	-0.347	-0.908	0.266	-0.061	0.854	7.385	-74.20	19.70	-19.67	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.16	WT901BLE68-01(48591DE3C19B)	-0.347	-0.909	0.269	-0.305	0.061	7.385	-74.19	19.78	-19.62	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.16	WT901BLE68-01(48591DE3C19B)	-0.340	-0.909	0.269	-0.305	0.061	7.385	-74.18	19.86	-19.56	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.16	WT901BLE68-01(48591DE3C19B)	-0.340	-0.907	0.269	0.122	0.122	7.202	-74.17	19.93	-19.50	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.108	WT901BLE68-01(48591DE3C19B)	-0.335	-0.907	0.269	0.122	0.122	7.202	-74.16	20.01	-19.45	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.108	WT901BLE68-01(48591DE3C19B)	-0.335	-0.895	0.268	0.732	0.854	7.202	-74.15	20.08	-19.40	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.108	WT901BLE68-01(48591DE3C19B)	-0.333	-0.895	0.268	0.732	0.854	7.202	-74.13	20.15	-19.35	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.108	WT901BLE68-01(48591DE3C19B)	-0.333	-0.886	0.267	0.610	1.648	7.202	-74.12	20.23	-19.31	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.108	WT901BLE68-01(48591DE3C19B)	-0.336	-0.886	0.267	0.610	1.648	7.202	-74.11	20.30	-19.27	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.109	WT901BLE68-01(48591DE3C19B)	-0.336	-0.883	0.268	0.488	1.465	7.324	-74.10	20.37	-19.23	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.109	WT901BLE68-01(48591DE3C19B)	-0.341	-0.883	0.268	0.488	1.465	7.324	-74.09	20.45	-19.19	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.109	WT901BLE68-01(48591DE3C19B)	-0.341	-0.886	0.271	-0.488	0.183	7.080	-74.08	20.52	-19.15	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.166	WT901BLE68-01(48591DE3C19B)	-0.339	-0.886	0.271	-0.488	0.183	7.080	-74.07	20.58	-19.10	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
2025-3-27 14:52:51.166	WT901BLE68-01(48591DE3C19B)	-0.339	-0.894	0.270	-0.854	-1.587	6.348	-74.06	20.64	-19.04	-37.240	-42.140	72.128	-0.79086	0.56467	-0.23239	0.03946	30.4	13111	100
