time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-27 14:51:15.530	WT901BLE68-01(48591DE3C19B)	-0.310	-0.932	0.237	0.549	-0.671	-17.883	-77.37	16.14	-99.20	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.530	WT901BLE68-01(48591DE3C19B)	-0.315	-0.932	0.237	0.549	-0.671	-17.883	-77.37	15.97	-99.22	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.530	WT901BLE68-01(48591DE3C19B)	-0.315	-0.934	0.241	0.854	1.648	-16.479	-77.37	15.82	-99.26	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.530	WT901BLE68-01(48591DE3C19B)	-0.325	-0.934	0.241	0.854	1.648	-16.479	-77.37	15.68	-99.29	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.559	WT901BLE68-01(48591DE3C19B)	-0.325	-0.927	0.238	1.221	2.747	-15.747	-77.37	15.54	-99.34	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.560	WT901BLE68-01(48591DE3C19B)	-0.317	-0.927	0.238	1.221	2.747	-15.747	-77.36	15.41	-99.39	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.560	WT901BLE68-01(48591DE3C19B)	-0.317	-0.934	0.235	1.160	4.211	-14.038	-77.36	15.29	-99.45	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.560	WT901BLE68-01(48591DE3C19B)	-0.322	-0.934	0.235	1.160	4.211	-14.038	-77.36	15.18	-99.51	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.651	WT901BLE68-01(48591DE3C19B)	-0.322	-0.942	0.233	1.465	5.249	-12.573	-77.35	15.08	-99.57	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.652	WT901BLE68-01(48591DE3C19B)	-0.333	-0.942	0.233	1.465	5.249	-12.573	-77.35	14.99	-99.64	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.652	WT901BLE68-01(48591DE3C19B)	-0.333	-0.959	0.233	1.465	5.859	-10.254	-77.35	14.91	-99.70	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.652	WT901BLE68-01(48591DE3C19B)	-0.335	-0.959	0.233	1.465	5.859	-10.254	-77.35	14.84	-99.77	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.653	WT901BLE68-01(48591DE3C19B)	-0.335	-0.962	0.238	2.747	4.578	-8.545	-77.34	14.78	-99.83	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.653	WT901BLE68-01(48591DE3C19B)	-0.328	-0.962	0.238	2.747	4.578	-8.545	-77.33	14.73	-99.88	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.653	WT901BLE68-01(48591DE3C19B)	-0.328	-0.946	0.240	3.052	4.456	-6.104	-77.31	14.69	-99.92	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.653	WT901BLE68-01(48591DE3C19B)	-0.330	-0.946	0.240	3.052	4.456	-6.104	-77.28	14.66	-99.96	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.711	WT901BLE68-01(48591DE3C19B)	-0.330	-0.935	0.237	2.930	4.639	-3.540	-77.26	14.65	-100.00	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.711	WT901BLE68-01(48591DE3C19B)	-0.321	-0.935	0.237	2.930	4.639	-3.540	-77.23	14.65	-100.04	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.711	WT901BLE68-01(48591DE3C19B)	-0.321	-0.926	0.235	2.808	3.967	-1.160	-77.21	14.66	-100.07	-65.072	-31.948	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.711	WT901BLE68-01(48591DE3C19B)	-0.313	-0.926	0.235	2.808	3.967	-1.160	-77.19	14.68	-100.10	-64.190	-32.340	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
2025-3-27 14:51:15.712	WT901BLE68-01(48591DE3C19B)	-0.313	-0.913	0.235	2.808	4.150	1.038	-77.16	14.71	-100.12	-64.190	-32.340	1.470	-0.57089	0.31375	-0.54492	0.52780	30.1	13111	100
